,Unnamed: 0,nelx,nely,did converge,Youngs modulus,circle 1 x,circle 1 y,circle 1 radius,force 1 x,force 1 y,circle 2 x,circle 2 y,circle 2 radius,force 1 x.1,force 2 y,circle 3 x,circle 3 y,circle 3 radius,force 3 x,force 3 y,True Mass,True Compliance,True Stress,Predicted Mass,Predicted Stress,Predicted Compliance
19,10,100,50,True,158598725368.98273,0.29,0.29,0.1837336202445475,4620.501058009048,-10181.42986809233,1.55,0.68,0.1580943026598439,8220.91930969328,5483.104131975924,0.95,0.36,0.1407873291320248,-12841.420367702329,4698.325736116406,1008.2216777521744,0.0414302844851149,725289.2332745638,622.312,1.2744428978901137,43632460.63395209
20,11,100,50,True,474801929409.4204,0.85,0.75,0.1366527953950515,-2960.596480324522,11474.94004850669,0.29,0.29,0.1774658848852464,-6193.057133461893,-10660.752875092008,1.07,0.22,0.111707226282446,9153.653613786417,-814.1871734146827,434.0896685392719,0.0415696958392165,2004256.345563672,524.9791,-1.4181215225166133,8271824.396557445
21,12,100,50,True,473435167912.0892,1.24,0.69,0.1878749506664486,6865.318733708241,8320.024857844046,1.72,0.72,0.1624005291460739,-488.8294263738275,-12618.02583941376,0.8,0.72,0.1649422824727505,-6376.489307334414,4298.000981569714,485.8944860072179,-0.0305822588916753,3602477.4546695966,479.15576,-0.2266274909551159,6335361.600764311
22,13,100,50,True,318539558838.0101,0.36,0.36,0.1985173946813948,-5133.488061139849,-6235.595303884733,1.74,0.25,0.1194042430878342,-9581.953094536972,-726.6883078125329,0.83,0.41,0.1796042788576923,14715.44115567682,6962.283611697267,722.6530430213681,-0.5932766989491476,1789252.8802888026,613.51666,-1.0833203198501256,7756548.642457982
23,14,100,50,True,172719800603.07663,0.98,0.64,0.1099834103251394,14897.872763677708,-851.6051616896501,0.22,0.22,0.1145654652731249,-3772.561351792552,9119.868408814811,0.98,0.26,0.1492635700391779,-11125.311411885155,-8268.263247125162,370.069192619832,-1.6644318997827223,2822853.374924705,394.01822,-1.3512083232066885,90041851.82647271
24,15,100,50,True,354567871127.25134,1.18,0.75,0.1412715105115453,-4539.428028891087,12183.1701513229,0.6,0.77,0.1158853237903407,4020.39299177958,-4368.254547470829,0.28,0.28,0.1740857407754621,519.0350371115077,-7814.915603852071,560.4007175357815,0.2913609042617407,18235311.48322919,612.75476,-0.6301220065466403,10241373.348460348
25,16,100,50,True,98811493962.75568,0.29,0.5,0.1823152843781785,-4560.967184038952,8835.887082665853,1.08,0.27,0.1643425475917538,-7994.490035800537,4664.157210940982,1.79,0.79,0.102585925754383,12555.457219839487,-13500.044293606834,645.6595532696342,0.4928045308570016,6253015.616304845,648.90295,-7.150668851404104,72115933.06552233
26,17,100,50,True,431289229227.848,1.04,0.78,0.109517841055194,7750.57278082202,-11994.857611051577,1.11,0.27,0.1640080161962633,-11931.253987243366,10602.825253640418,1.74,0.74,0.1480952733902394,4180.681206421346,1392.0323574111571,533.9113828057425,-1.2884513219766962,2726592.5847546877,459.469,-0.1215079509367406,33998234.95596848
27,18,100,50,True,257153281341.53705,0.65,0.25,0.1418536970807811,7232.151054866057,-6538.984377694367,1.69,0.69,0.1965340840203087,4463.443532785316,-8525.315403970137,1.74,0.26,0.1497836891303051,-11695.594587651376,15064.299781664502,890.4533649822744,0.7828099608464586,645176.3616634357,696.00745,0.1109444601619605,18574961.244946577
28,19,100,50,False,420302529232.329,0.65,0.31,0.1905629194663882,11668.153469217832,-7052.606725794078,1.71,0.43,0.1148994459195689,6606.015197008709,7425.882658028206,0.26,0.27,0.1230738130762143,-18274.168666226546,-373.27593223412856,706.9568023930689,-1.091262001921523,6363637.178625945,608.592,-0.094165358021257,18471184.38499939
29,20,100,50,True,286133245099.6857,1.78,0.22,0.1121881275522721,447.1630760180562,12990.959133512257,1.39,0.75,0.1434704081451309,9260.71414954332,3798.6573328354616,1.31,0.24,0.1312062960071305,-9707.877225561377,-16789.616466347718,1240.3374953098782,3.317422045643106,88705700.71060322,379.58258,0.0117673592365677,80313924.38736644
30,21,100,50,True,291939633949.73694,1.46,0.52,0.1381109691696444,10349.418364965755,-5157.80817452731,0.64,0.35,0.1239176950962505,-1547.5396656833457,8987.547112446811,1.77,0.23,0.1153297894541291,-8801.87869928241,-3829.7389379195015,440.6600837411616,0.1442931711555793,1530771.4289572493,484.7332,-0.860185360566674,12123087.063355966
